#{"t_start": 1702243112.2229602, "env_id": "None"}
r,l,t
8.0,1002,15047.113744
18.0,1002,15062.72591
13.0,1002,15078.341205
9.0,1002,15097.460323
10.0,1002,15113.083745
13.0,1002,15128.697024
9.0,1002,15144.32218
8.0,1002,15159.958979
8.0,1002,15175.576321
8.0,1002,15191.185912
8.0,1002,15206.79338
9.0,1002,15225.931776
9.0,1002,15241.545593
11.0,1002,15257.138757
10.0,1002,15272.760427
13.0,1002,15288.406913
12.0,1002,15304.031941
9.0,1002,15319.652687
8.0,1002,15335.276748
11.0,1002,15350.892207
12.0,1002,15370.079998
10.0,1002,15385.693062
9.0,1002,15401.31754
6.0,1002,15416.923739
9.0,1002,15432.53118
7.0,1002,15448.145844
8.0,1002,15463.761597
7.0,1002,15479.366781
6.0,1002,15498.443608
10.0,1002,15514.069026
7.0,1002,15529.706715
8.0,1002,15545.363652
9.0,1002,15560.988773
13.0,1002,15576.614615
10.0,1002,15592.252858
10.0,1002,15607.871948
9.0,1002,15627.154115
8.0,1002,15642.788974
13.0,1002,15658.467051
7.0,1002,15674.109422
11.0,1002,15689.726641
12.0,1002,15705.349637
6.0,1002,15721.071286
9.0,1002,15736.765611
6.0,1002,15756.023803
10.0,1002,15771.655808
7.0,1002,15787.278092
11.0,1002,15802.915327
6.0,1002,15818.537757
7.0,1002,15834.147116
19.0,1002,15849.777205
5.0,1002,15865.378449
8.0,1002,15884.49851
8.0,1002,15900.114059
8.0,1002,15915.725318
8.0,1002,15931.339162
8.0,1002,15946.959971
6.0,1002,15962.567131
8.0,1002,15978.185013
8.0,1002,15993.80343
11.0,1002,16012.977619
8.0,1002,16028.584151
6.0,1002,16044.190211
7.0,1002,16059.804368
9.0,1002,16075.416713
8.0,1002,16091.026173
8.0,1002,16106.645129
11.0,1002,16122.270404
6.0,1002,16137.914839
5.0,1002,16157.060944
11.0,1002,16172.679283
9.0,1002,16188.312262
22.0,1002,16203.938118
7.0,1002,16219.551696
9.0,1002,16235.160028
7.0,1002,16250.804073
9.0,1002,16266.412233
7.0,1002,16285.561444
5.0,1002,16301.176061
8.0,1002,16316.802023
9.0,1002,16332.432305
9.0,1002,16348.047076
8.0,1002,16363.663484
7.0,1002,16379.297843
6.0,1002,16394.914347
8.0,1002,16414.096636
8.0,1002,16429.715838
9.0,1002,16445.335774
5.0,1002,16460.963316
7.0,1002,16476.577222
13.0,1002,16492.206434
9.0,1002,16507.823081
7.0,1002,16523.422047
5.0,1002,16542.516187
11.0,1002,16558.132583
8.0,1002,16573.758641
6.0,1002,16589.387972
8.0,1002,16604.992779
5.0,1002,16620.666764
12.0,1002,16636.330301
8.0,1002,16651.94477
8.0,1002,16671.038294
9.0,1002,16686.656298
9.0,1002,16702.287694
25.0,1002,16717.920474
8.0,1002,16733.555666
8.0,1002,16749.172002
8.0,1002,16764.784716
6.0,1002,16780.413535
9.0,1002,16799.52874
6.0,1002,16815.151852
9.0,1002,16830.771596
8.0,1002,16846.399642
8.0,1002,16862.022136
9.0,1002,16877.641418
5.0,1002,16893.268625
7.0,1002,16908.903351
6.0,1002,16924.530633
9.0,1002,16943.632043
6.0,1002,16959.247492
5.0,1002,16974.886656
14.0,1002,16990.51312
6.0,1002,17006.131042
6.0,1002,17021.736623
7.0,1002,17037.348619
7.0,1002,17052.961415
15.0,1002,17072.063038
8.0,1002,17087.6752
12.0,1002,17103.294333
6.0,1002,17118.916494
8.0,1002,17134.537374
7.0,1002,17150.16238
8.0,1002,17165.809067
7.0,1002,17181.436526
5.0,1002,17200.600044
7.0,1002,17216.224296
6.0,1002,17231.840676
7.0,1002,17247.47753
8.0,1002,17263.097478
15.0,1002,17278.725674
8.0,1002,17294.353189
7.0,1002,17309.968711
7.0,1002,17329.124911
8.0,1002,17344.751096
7.0,1002,17360.377662
11.0,1002,17376.020521
8.0,1002,17391.652616
14.0,1002,17407.272605
9.0,1002,17422.889624
12.0,1002,17438.49559
7.0,1002,17457.641242
8.0,1002,17473.257486
8.0,1002,17488.894563
7.0,1002,17504.512142
7.0,1002,17520.144281
6.0,1002,17535.757502
7.0,1002,17551.36917
8.0,1002,17566.994779
10.0,1002,17582.623306
8.0,1002,17601.780193
13.0,1002,17617.395504
8.0,1002,17633.024111
29.0,1002,17648.657505
8.0,1002,17664.263949
7.0,1002,17679.873431
8.0,1002,17695.506083
7.0,1002,17711.141607
7.0,1002,17730.294191
8.0,1002,17745.910294
7.0,1002,17761.530188
11.0,1002,17777.144277
9.0,1002,17792.766772
20.0,1002,17808.37934
11.0,1002,17824.013991
7.0,1002,17839.630252
7.0,1002,17858.853054
8.0,1002,17874.471312
6.0,1002,17890.092603
12.0,1002,17905.716774
6.0,1002,17921.348776
8.0,1002,17936.971377
6.0,1002,17952.595591
8.0,1002,17968.224096
6.0,1002,17987.394926
6.0,1002,18003.00363
7.0,1002,18018.614303
7.0,1002,18034.239889
7.0,1002,18049.850815
7.0,1002,18065.472931
11.0,1002,18081.091154
9.0,1002,18096.718245
9.0,1002,18116.114548
10.0,1002,18131.738431
7.0,1002,18147.351318
6.0,1002,18162.956235
8.0,1002,18178.586415
9.0,1002,18194.2091
10.0,1002,18209.818558
7.0,1002,18225.442632
13.0,1002,18244.522318
10.0,1002,18260.145326
8.0,1002,18275.75838
11.0,1002,18291.375909
9.0,1002,18307.000061
8.0,1002,18322.609226
6.0,1002,18338.224369
7.0,1002,18353.817271
10.0,1002,18369.437541
6.0,1002,18388.551049
8.0,1002,18404.164118
5.0,1002,18419.800255
6.0,1002,18435.424688
6.0,1002,18451.045999
8.0,1002,18466.653409
9.0,1002,18482.278469
8.0,1002,18497.889748
7.0,1002,18517.060339
5.0,1002,18532.689767
10.0,1002,18548.324081
8.0,1002,18563.941573
13.0,1002,18579.545996
10.0,1002,18595.156753
10.0,1002,18610.788501
8.0,1002,18626.414762
10.0,1002,18645.534043
8.0,1002,18661.159266
8.0,1002,18676.775179
8.0,1002,18692.389192
8.0,1002,18708.010455
7.0,1002,18723.633487
10.0,1002,18739.25997
9.0,1002,18754.890928
12.0,1002,18774.013095
8.0,1002,18789.630486
7.0,1002,18805.229315
7.0,1002,18820.859466
8.0,1002,18836.459636
8.0,1002,18852.078746
6.0,1002,18867.709461
7.0,1002,18883.339141
8.0,1002,18902.491436
13.0,1002,18918.10956
8.0,1002,18933.735678
8.0,1002,18949.364549
10.0,1002,18964.990961
7.0,1002,18980.616748
7.0,1002,18996.247778
7.0,1002,19011.857553
6.0,1002,19031.015312
8.0,1002,19046.644867
14.0,1002,19062.264092
8.0,1002,19077.87217
9.0,1002,19093.495372
9.0,1002,19109.117579
7.0,1002,19124.739995
11.0,1002,19140.385744
7.0,1002,19156.058039
10.0,1002,19175.18222
8.0,1002,19190.795334
9.0,1002,19206.437449
8.0,1002,19222.045846
6.0,1002,19237.660972
10.0,1002,19253.265277
6.0,1002,19268.875684
13.0,1002,19284.483836
6.0,1002,19303.656457
7.0,1002,19319.269511
9.0,1002,19334.901231
9.0,1002,19350.512923
10.0,1002,19366.126095
9.0,1002,19381.740561
7.0,1002,19397.364851
12.0,1002,19412.97503
6.0,1002,19432.220648
9.0,1002,19447.826999
10.0,1002,19463.456693
8.0,1002,19479.054069
10.0,1002,19494.662108
6.0,1002,19510.279068
7.0,1002,19525.904257
8.0,1002,19541.525097
9.0,1002,19560.642673
6.0,1002,19576.258166
6.0,1002,19591.899648
7.0,1002,19607.515957
11.0,1002,19623.128003
8.0,1002,19638.75133
10.0,1002,19654.394973
11.0,1002,19670.024628
6.0,1002,19689.134072
7.0,1002,19704.762391
8.0,1002,19720.376162
7.0,1002,19735.986434
12.0,1002,19751.596469
14.0,1002,19767.225101
10.0,1002,19782.833978
7.0,1002,19798.452324
6.0,1002,19814.084436
9.0,1002,19833.248131
12.0,1002,19848.882121
12.0,1002,19864.49107
8.0,1002,19880.108143
8.0,1002,19895.732832
8.0,1002,19911.352866
8.0,1002,19926.987713
9.0,1002,19942.609777
6.0,1002,19961.874654
12.0,1002,19977.505862
13.0,1002,19993.126949
7.0,1002,20008.736943
6.0,1002,20024.360852
6.0,1002,20040.000247
7.0,1002,20055.600101
9.0,1002,20071.230194
10.0,1002,20090.350877
9.0,1002,20105.963726
7.0,1002,20121.590418
6.0,1002,20137.198672
9.0,1002,20152.804527
6.0,1002,20168.411101
7.0,1002,20184.025499
8.0,1002,20199.652632
9.0,1002,20218.774974
7.0,1002,20234.398597
9.0,1002,20250.023366
8.0,1002,20265.653519
10.0,1002,20281.282216
8.0,1002,20296.900328
10.0,1002,20312.536525
10.0,1002,20328.161278
6.0,1002,20347.339556
8.0,1002,20362.964232
6.0,1002,20378.571195
6.0,1002,20394.17766
7.0,1002,20409.805416
7.0,1002,20425.408992
9.0,1002,20441.029255
7.0,1002,20456.661627
11.0,1002,20475.851052
10.0,1002,20491.470994
6.0,1002,20507.094792
7.0,1002,20522.733873
9.0,1002,20538.352132
8.0,1002,20553.999395
7.0,1002,20569.638414
7.0,1002,20585.253478
7.0,1002,20600.880313
8.0,1002,20620.016248
7.0,1002,20635.635856
8.0,1002,20651.26266
5.0,1002,20666.887456
5.0,1002,20682.499474
9.0,1002,20698.128109
16.0,1002,20713.753129
12.0,1002,20729.377166
8.0,1002,20748.51352
7.0,1002,20764.125196
8.0,1002,20779.741522
7.0,1002,20795.377247
12.0,1002,20810.997238
5.0,1002,20826.615859
8.0,1002,20842.229746
8.0,1002,20857.863461
14.0,1002,20876.941148
8.0,1002,20892.578449
7.0,1002,20908.186066
10.0,1002,20923.809289
11.0,1002,20939.410954
11.0,1002,20955.010782
6.0,1002,20970.652151
8.0,1002,20986.264769
7.0,1002,21005.377866
10.0,1002,21020.984668
9.0,1002,21036.618595
8.0,1002,21052.237672
14.0,1002,21067.861841
7.0,1002,21083.489797
13.0,1002,21099.107722
12.0,1002,21114.734072
8.0,1002,21133.836856
10.0,1002,21149.465775
9.0,1002,21165.084474
16.0,1002,21180.710386
9.0,1002,21196.326537
5.0,1002,21211.946963
8.0,1002,21227.55963
8.0,1002,21243.174093
13.0,1002,21262.31337
9.0,1002,21277.940347
10.0,1002,21293.568728
8.0,1002,21309.190144
8.0,1002,21324.815432
9.0,1002,21340.462429
9.0,1002,21356.087545
7.0,1002,21371.721409
11.0,1002,21387.352351
8.0,1002,21406.589798
6.0,1002,21422.211314
8.0,1002,21437.827469
6.0,1002,21453.441131
4.0,1002,21469.083285
6.0,1002,21484.720652
5.0,1002,21500.354165
7.0,1002,21515.995819
15.0,1002,21535.141722
6.0,1002,21550.756744
11.0,1002,21566.371047
8.0,1002,21582.009907
6.0,1002,21597.634442
13.0,1002,21613.271897
5.0,1002,21628.895928
10.0,1002,21644.506335
5.0,1002,21663.582134
12.0,1002,21679.182703
11.0,1002,21694.793057
9.0,1002,21710.423902
13.0,1002,21726.045196
9.0,1002,21741.681699
10.0,1002,21757.299736
5.0,1002,21772.938353
9.0,1002,21792.136457
10.0,1002,21807.749149
10.0,1002,21823.372901
9.0,1002,21839.007872
6.0,1002,21854.687207
8.0,1002,21870.361225
6.0,1002,21885.986098
6.0,1002,21901.611664
10.0,1002,21920.774299
8.0,1002,21936.388012
11.0,1002,21952.007739
9.0,1002,21967.62837
8.0,1002,21983.255444
7.0,1002,21998.858118
7.0,1002,22014.466074
5.0,1002,22030.086758
7.0,1002,22045.710354
6.0,1002,22065.046556
7.0,1002,22080.673662
7.0,1002,22096.273176
10.0,1002,22111.895837
7.0,1002,22127.522875
10.0,1002,22143.147243
7.0,1002,22158.7627
11.0,1002,22174.383913
7.0,1002,22193.523792
12.0,1002,22209.139249
11.0,1002,22224.756716
7.0,1002,22240.370631
5.0,1002,22256.008427
12.0,1002,22271.61957
10.0,1002,22287.257735
10.0,1002,22302.86618
8.0,1002,22321.938974
8.0,1002,22337.561409
10.0,1002,22353.17319
9.0,1002,22368.784611
9.0,1002,22384.398331
8.0,1002,22400.017178
7.0,1002,22415.636916
12.0,1002,22431.269233
8.0,1002,22450.41138
7.0,1002,22466.012928
5.0,1002,22481.633883
12.0,1002,22497.262537
8.0,1002,22512.869634
8.0,1002,22528.487369
8.0,1002,22544.103029
7.0,1002,22559.729187
12.0,1002,22578.860266
8.0,1002,22594.492153
8.0,1002,22610.099955
7.0,1002,22625.720518
5.0,1002,22641.338357
6.0,1002,22656.968855
6.0,1002,22672.580116
12.0,1002,22688.190115
7.0,1002,22707.323059
11.0,1002,22722.937905
5.0,1002,22738.557125
6.0,1002,22754.189651
7.0,1002,22769.805876
10.0,1002,22785.418278
8.0,1002,22801.065996
8.0,1002,22816.699372
6.0,1002,22832.317714
12.0,1002,22851.456366
8.0,1002,22867.064999
5.0,1002,22882.680545
7.0,1002,22898.301357
5.0,1002,22913.916477
6.0,1002,22929.530586
8.0,1002,22945.13926
